time,lat,lon,elevation,accuracy,bearing,speed
2014-11-05T14:09:35Z,39.639801,-79.955072,0.000000,2194.000000,0.000000,0.000000
2014-11-05T14:10:35Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:11:35Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:12:36Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:13:36Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:14:36Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:15:37Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:16:41Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:17:41Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:18:41Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:19:53Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:20:53Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:21:56Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:22:57Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:23:58Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:24:59Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:26:00Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:27:01Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:28:01Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:29:02Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:30:02Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:31:02Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:32:02Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
2014-11-05T14:33:03Z,39.651061,-79.976032,0.000000,2658.000000,0.000000,0.000000
