A5836,39.645549749225,-79.960800443411
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
A3349,39.6453132,-79.9605782
A10282,39.645197,-79.9603555
A5659,39.645362716667,-79.960552266667
,,
A21432,39.645334777778,-79.960643744444
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
A26001,39.651167208333,-80.004730729167
A7414,40.217422444444,-80.211786666667
A30967,40.217333666667,-80.2119548
A29540,40.217460333333,-80.211662583333
A18893,40.217068266667,-80.212058815152
A4738,40.217371,-80.21138
A11667,40.217496333333,-80.211184
A25040,40.683297,-80.10116
A13769,40.685566,-80.1058915
A21710,40.683297,-80.10116
A4079,40.808476,-80.107854
A19196,41.138009913333,-80.158097523333
A25989,41.137903875,-80.1581573125
A28634,41.137707919048,-80.158093214286
A15371,41.137694666667,-80.157977666667
A6888,41.138169958333,-80.157657333333
A21761,41.138002611111,-80.1578295
A12198,41.140999,-80.1568155
A3559,41.141322666667,-80.157136666667
A32148,41.141203,-80.1571705
A16445,41.141748186905,-80.15765432619
A8242,41.141929666667,-80.157546833333
A8579,41.141589433333,-80.157892316667
A24320,41.14140375,-80.1576515
A9017,41.139993711111,-80.156916677778
A3454,41.139904551515,-80.156870521212
A21215,41.140066058333,-80.156904975
A27436,41.14020285,-80.157156175
A14837,41.1402585,-80.157393
A906,41.141150722222,-80.158303666667
A15867,41.1410325,-80.158466
A3608,41.1408085,-80.158348
A113,41.141024,-80.158364
A20054,41.111408,-80.144129
A16087,40.541555,-80.078461
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
